# Raw data from Gardner, et al., Cell, 147, 1092, 2011.
#
# Each entry in the respective columns is the time, in seconds, 
# between the start of growth of a microtubule and catastrophe.
#
# The concentration of tubulin for all experiments was 12 uM.
# The concentration of Kip3 for each condition is given at the
# head of each column.
#
# Kindly provided by Melissa Gardner, University of Minnesota
18 nM Kip3,14 nM Kip3,7 nM Kip3
30,40,43.596
35,50,58.128
35,55,60.55
35,55,60.55
40,60,65.394
40,60,67.816
40,60,72.66
45,60,72.66
45,70,75.082
45,70,79.926
50,75,79.926
50,75,87.192
50,75,89.614
50,75,89.614
50,80,89.614
55,80,89.614
55,80,92.036
55,80,92.036
55,80,92.036
55,85,94.458
55,85,96.88
55,85,99.302
60,85,101.724
60,90,104.146
60,90,106.568
60,90,108.99
60,90,108.99
60,95,111.412
60,95,111.412
65,95,111.412
65,95,111.412
65,100,113.834
65,100,113.834
65,100,116.256
65,105,118.678
65,105,118.678
65,105,118.678
65,105,118.678
65,110,121.1
70,110,123.522
75,110,123.522
75,115,125.944
75,115,125.944
75,115,128.366
75,115,130.788
75,120,130.788
75,125,130.788
75,125,135.632
75,125,135.632
75,130,138.054
75,130,140.476
80,130,140.476
80,140,142.898
80,140,142.898
80,140,142.898
80,145,145.32
80,145,145.32
80,145,147.742
80,150,159.852
85,150,162.274
85,150,164.696
85,150,164.696
85,150,167.118
85,150,169.54
85,150,169.54
85,155,171.962
90,155,171.962
90,155,174.384
90,155,184.072
90,155,184.072
90,155,186.494
90,160,186.494
90,160,193.76
90,160,201.026
90,160,203.448
90,160,208.292
95,160,215.558
95,160,215.558
95,165,217.98
95,165,220.402
100,165,225.246
100,165,227.668
100,165,227.668
100,170,227.668
100,175,230.09
100,175,239.778
100,175,244
100,175,244.622
100,175,247.044
100,175,247.044
105,175,249.466
105,180,249.466
105,180,251.888
105,180,254.31
105,180,254.31
105,180,259.154
105,180,259.154
110,185,261.576
110,185,266.42
110,185,268.842
115,185,271.264
115,185,273.686
115,185,273.686
120,185,273.686
120,190,283.374
120,190,285.796
120,190,297.906
120,190,297.906
125,195,300.328
125,200,302.75
125,200,302.75
125,205,305.172
125,205,310.016
125,205,310.016
125,205,312.438
125,205,312.438
125,205,314.86
130,210,326.97
130,210,329.392
130,210,334.236
130,210,339.08
135,210,339.08
135,215,339.08
135,215,341.502
135,215,341.502
135,215,346.346
140,215,346.346
140,220,348.768
140,220,348.768
140,220,353.612
140,225,356.034
140,225,356.034
140,225,363.3
140,225,372.988
145,230,380.254
145,230,389.942
145,230,392.364
150,230,402.052
150,230,409.318
150,230,426.272
155,235,426.272
155,235,428.694
160,235,438.382
160,235,443.226
160,235,445.648
165,240,448.07
165,240,455.336
165,240,484.4
170,245,486.822
170,245,489.244
170,245,498.932
170,245,501.354
170,245,503.776
170,250,506.198
175,255,508.62
175,255,511.042
175,255,518.308
175,255,520.73
180,255,520.73
180,255,525.574
185,255,525.574
185,255,525.574
190,260,527.996
190,260,527.996
190,260,532.84
190,260,532.84
195,260,535.262
195,265,542.528
195,265,566.748
195,265,586.124
195,265,590.968
200,265,595.812
200,270,605.5
205,270,641.83
205,270,646.674
205,270,687.848
210,270,690.27
210,270,692.692
210,270,707.224
210,275,712.068
215,280,714.49
215,280,729.022
220,280,733.866
220,280,736.288
220,280,753.242
225,285,939.736
225,285,
230,285,
230,295,
230,295,
230,295,
235,300,
240,300,
240,300,
240,310,
240,310,
245,315,
245,315,
245,315,
245,315,
245,320,
245,320,
250,320,
250,325,
255,335,
255,340,
255,355,
260,355,
260,360,
265,360,
270,360,
270,360,
275,365,
275,370,
280,375,
285,375,
285,375,
285,380,
290,380,
290,380,
290,385,
295,385,
295,395,
295,395,
300,395,
300,405,
300,425,
310,425,
315,430,
320,435,
330,455,
330,470,
330,470,
360,475,
360,480,
370,490,
370,495,
380,500,
395,520,
400,525,
400,530,
415,535,
415,545,
425,545,
455,550,
535,560,
685,570,
695,570,
725,570,
,570,
,570,
,575,
,575,
,585,
,600,
,620,
,640,
,645,
,660,
,665,
,685,
,750,
,790,
,940,
,1000,
,1100,
